地点,事故原因,具体原因,事故次数
皎漂首站,设备故障,泵/压缩机,2
皎漂首站,设备故障,阀门,2
皎漂首站,设备故障,其他设备故障,1
皎漂首站,腐蚀,应力腐蚀,2
皎漂首站,腐蚀,内部腐蚀,2
皎漂首站,腐蚀,外部腐蚀,0
皎漂首站,腐蚀,其他腐蚀,1
皎漂首站,机械故障,支撑物故障,3
皎漂首站,机械故障,老化,5
皎漂首站,机械故障,建造缺陷,1
皎漂首站,机械故障,超压,0
皎漂首站,机械故障,材料缺陷,2
皎漂首站,机械故障,焊接不良,9
皎漂首站,机械故障,其他故障,3
皎漂首站,操作失误,关闭,5
皎漂首站,操作失误,压力测试,2
皎漂首站,操作失误,清管作业,3
皎漂首站,操作失误,阀门操作,0
皎漂首站,操作失误,维修/保养,2
皎漂首站,操作失误,报废,6
皎漂首站,操作失误,日常操作,10
皎漂首站,操作失误,启动,0
皎漂首站,操作失误,其他操作,2
皎漂首站,自然灾害,低温天气,4
皎漂首站,自然灾害,侵蚀,5
皎漂首站,自然灾害,暴雨,2
皎漂首站,自然灾害,泥石流,1
皎漂首站,自然灾害,洪水,3
皎漂首站,自然灾害,闪电,5
皎漂首站,自然灾害,其他灾害,6
皎漂首站,第三方活动,高压电,6
皎漂首站,第三方活动,重压,12
皎漂首站,第三方活动,河运,5
皎漂首站,第三方活动,除挖掘外的运输/其他设备活动,4
皎漂首站,第三方活动,机械挖掘,3
皎漂首站,第三方活动,其他活动,5
#1管线,设备故障,泵/压缩机,2
#1管线,设备故障,阀门,2
#1管线,设备故障,其他设备故障,2
#1管线,第三方活动,高压电,1
#1管线,第三方活动,重压,3
#1管线,第三方活动,河运,5
#1管线,第三方活动,除挖掘外的运输/其他设备活动,6
#1管线,第三方活动,机械挖掘,7
#1管线,第三方活动,其他活动,2
#1管线,腐蚀,应力腐蚀,1
#1管线,腐蚀,内部腐蚀,3
#1管线,腐蚀,外部腐蚀,9
#1管线,腐蚀,其他腐蚀,1
#1管线,机械故障,支撑物故障,0
#1管线,机械故障,老化,2
#1管线,机械故障,建造缺陷,5
#1管线,机械故障,超压,10
#1管线,机械故障,材料缺陷,7
#1管线,机械故障,焊接不良,0
#1管线,机械故障,其他故障,0
#1管线,操作失误,关闭,1
#1管线,操作失误,压力测试,2
#1管线,操作失误,清管作业,3
#1管线,操作失误,阀门操作,4
#1管线,操作失误,维修/保养,5
#1管线,操作失误,报废,2
#1管线,操作失误,日常操作,10
#1管线,操作失误,启动,1
#1管线,操作失误,其他操作,4
#1管线,自然灾害,低温天气,4
#1管线,自然灾害,侵蚀,5
#1管线,自然灾害,暴雨,2
#1管线,自然灾害,泥石流,1
#1管线,自然灾害,洪水,3
#1管线,自然灾害,闪电,5
#1管线,自然灾害,其他灾害,6
#2管线,设备故障,泵/压缩机,0
#2管线,设备故障,阀门,0
#2管线,设备故障,其他设备故障,0
#2管线,第三方活动,高压电,2
#2管线,第三方活动,重压,8
#2管线,第三方活动,河运,4
#2管线,第三方活动,除挖掘外的运输/其他设备活动,5
#2管线,第三方活动,机械挖掘,7
#2管线,第三方活动,其他活动,1
#2管线,腐蚀,应力腐蚀,0
#2管线,腐蚀,内部腐蚀,2
#2管线,腐蚀,外部腐蚀,6
#2管线,腐蚀,其他腐蚀,5
#2管线,机械故障,支撑物故障,2
#2管线,机械故障,老化,6
#2管线,机械故障,建造缺陷,4
#2管线,机械故障,超压,2
#2管线,机械故障,材料缺陷,13
#2管线,机械故障,焊接不良,4
#2管线,机械故障,其他故障,1
#2管线,操作失误,关闭,2
#2管线,操作失误,压力测试,6
#2管线,操作失误,清管作业,2
#2管线,操作失误,阀门操作,4
#2管线,操作失误,维修/保养,4
#2管线,操作失误,报废,2
#2管线,操作失误,日常操作,3
#2管线,操作失误,启动,2
#2管线,操作失误,其他操作,0
#2管线,自然灾害,低温天气,8
#2管线,自然灾害,侵蚀,4
#2管线,自然灾害,暴雨,4
#2管线,自然灾害,泥石流,3
#2管线,自然灾害,洪水,3
